ts,cpu_percent,mem_mb
1789732346.9708388,3.1,189.95
1789732347.9883242,3.1,189.96
1789732349.005197,4.7,189.97
1789732350.0179024,1.6,189.97
1789732351.0305781,3.1,189.99
1789732352.0449157,3.1,189.99
1789732353.058826,1.6,189.98
1789732354.0770268,1.6,189.97
1789732355.0880296,1.6,189.97
1789732356.1030092,1.6,189.98
1789732357.114131,1.6,189.98
1789732358.1280885,3.1,189.98
1789732359.1422584,4.7,189.99
1789732360.1603222,7.8,189.99
1789732361.1749008,1.6,191.59
1789732362.1870296,3.1,191.55
1789732363.200953,3.1,191.56
1789732364.2158437,3.1,191.61
1789732365.2296252,1.6,191.62
1789732366.241838,0.0,191.65
1789732367.257062,4.7,191.65
1789732368.2721806,1.6,191.72
1789732369.287296,3.1,191.84
1789732370.3018336,3.1,191.87
1789732371.316058,1.6,191.88
1789732372.3289,1.6,191.88
1789732373.3469288,3.1,191.98
1789732374.377132,3.1,192.05
1789732375.3907435,1.6,192.07
1789732376.4089973,4.7,192.11
1789732377.425105,6.2,192.14
1789732378.4420536,1.6,191.97
1789732379.4578884,3.1,191.97
1789732380.4753623,1.6,192.03
1789732381.491151,1.6,192.09
1789732382.5086155,3.1,192.08
1789732383.5238764,1.6,192.10
1789732384.5388587,3.1,192.11
1789732385.5568502,1.6,192.11
1789732386.5720546,3.1,192.10
1789732387.5814571,1.6,192.09
1789732388.5952797,1.6,192.09
1789732389.6058822,1.6,192.10
1789732390.6188593,3.1,192.11
1789732391.631997,3.1,192.10
1789732392.6476953,3.1,192.10
1789732393.667141,76.5,192.10
1789732394.6903086,96.8,214.85
1789732395.7007554,100.0,217.11
1789732396.7143953,96.9,220.89
1789732397.7252727,98.3,221.60
1789732398.7518358,96.8,222.50
1789732399.7623534,92.1,224.03
1789732400.7720866,98.4,225.61
1789732401.7807853,100.0,211.62
1789732402.7896612,96.9,212.37
1789732403.7991765,93.7,222.30
1789732404.8116415,90.6,226.27
1789732405.823088,84.4,237.29
1789732406.832029,81.2,241.62
1789732407.8480256,95.3,245.91
1789732408.8606408,87.4,211.69
1789732409.871488,90.6,230.98
1789732410.8861468,98.4,232.04
1789732411.9000826,89.0,225.02
1789732412.9150333,100.0,240.03
1789732413.9340117,99.9,233.05
1789732414.9437299,95.3,233.25
1789732415.9524148,98.4,236.48
1789732416.9635072,98.4,231.71
1789732417.9744685,95.3,215.25
1789732418.9830055,87.5,222.28
1789732419.9934409,78.1,232.48
1789732421.0025287,93.7,236.63
1789732422.0127268,92.2,243.57
1789732423.0218503,93.7,241.39
1789732424.0344253,3.1,245.33
1789732425.0492342,3.1,243.15
1789732426.0587041,3.1,242.88
1789732427.07339,1.6,242.83
1789732428.088024,1.6,242.53
1789732429.1034262,3.1,242.37
1789732430.1210675,10.9,242.60
1789732431.1371543,9.4,242.62
1789732432.1586986,4.7,242.40
1789732433.1736965,9.4,242.47
1789732434.189945,12.5,230.67
1789732435.2051828,6.2,230.71
1789732436.2204516,10.9,230.68
1789732437.234913,7.8,230.70
1789732438.2510436,7.8,230.66
1789732439.2671885,7.8,230.66
1789732440.2833512,9.4,230.67
1789732441.3008611,7.8,230.71
1789732442.3186421,7.8,230.68
1789732443.3336,10.9,230.70
1789732444.3531663,9.4,230.71
1789732445.3690753,12.5,230.80
1789732446.3828206,6.2,230.82
1789732447.399252,6.2,230.78
1789732448.4146245,6.2,230.81
1789732449.4308834,9.4,230.80
1789732450.4469347,9.4,230.79
1789732451.4621544,9.4,230.76
1789732452.4784644,9.4,230.94
1789732453.4951935,9.4,230.91
1789732454.5113356,6.2,230.96
1789732455.5263171,6.2,230.92
1789732456.5415032,6.2,230.95
1789732457.5577672,12.5,230.97
1789732458.573081,7.8,230.91
1789732459.5890048,7.8,230.96
1789732460.6047893,9.4,230.85
1789732461.6194313,6.2,230.89
1789732462.6281307,10.9,230.81
1789732463.6418107,15.6,230.90
1789732464.658209,9.4,230.81
1789732465.6704533,9.4,230.87
1789732466.6861572,7.8,230.83
1789732467.7003555,12.5,230.87
